Unnamed: 0,id,age,Ethnicity,gender,i,response,reaction_time,accuracy,img_emotion,img_ethnicity,img_gender,img_trigger,res_trigger,acc_trigger,ethnicity_trigger
116,group12_sub1,23,danish,male,./final_images\AF05_HC_happy.jpg,i,100.8437444001902,correct,happy,asian,female,20,200,220,21
117,group12_sub1,23,danish,male,./final_images\BF03_SO_sad.jpg,e,101.72881660005078,correct,sad,black,female,30,100,130,32
118,group12_sub1,23,danish,male,./final_images\AM05_SO_sad.jpg,e,102.7889264000114,correct,sad,asian,male,30,100,130,31
119,group12_sub1,23,danish,male,./final_images\BM01_NC_neutral.jpg,i,103.62384160002694,neutral,neutral,black,male,40,200,140,42
120,group12_sub1,23,danish,male,./final_images\BM11_HC_happy.jpg,i,104.38978440011851,correct,happy,black,male,20,200,220,22
121,group12_sub1,23,danish,male,./final_images\BF19_SO_sad.jpg,e,105.22478460008278,correct,sad,black,female,30,100,130,32
122,group12_sub1,23,danish,male,./final_images\WM03_HC_happy.jpg,i,106.0067355001811,correct,happy,white,male,20,200,220,23
123,group12_sub1,23,danish,male,./final_images\BM01_SO_sad.jpg,e,106.88683670014144,correct,sad,black,male,30,100,130,32
124,group12_sub1,23,danish,male,./final_images\BM04_NO_neutral.jpg,e,107.80373789998704,neutral,neutral,black,male,40,100,140,42
125,group12_sub1,23,danish,male,./final_images\WM05_HC_happy.jpg,i,108.59590230020694,correct,happy,white,male,20,200,220,23
126,group12_sub1,23,danish,male,./final_images\WM06_HO_happy.jpg,i,109.38880700012668,correct,happy,white,male,20,200,220,23
127,group12_sub1,23,danish,male,./final_images\WF13_HO_happy.jpg,i,110.26071110018528,correct,happy,white,female,20,200,220,23
128,group12_sub1,23,danish,male,./final_images\WF01_NC_neutral.jpg,i,111.11686530010776,neutral,neutral,white,female,40,200,140,43
129,group12_sub1,23,danish,male,./final_images\BF07_SO_sad.jpg,e,112.11578440014272,correct,sad,black,female,30,100,130,32
130,group12_sub1,23,danish,male,./final_images\AM05_HO_happy.jpg,i,112.87175560020842,correct,happy,asian,male,20,200,220,21
131,group12_sub1,23,danish,male,./final_images\BF01_SO_sad.jpg,e,114.20678200013936,correct,sad,black,female,30,100,130,32
132,group12_sub1,23,danish,male,./final_images\BM11_HO_happy.jpg,i,114.99273200007156,correct,happy,black,male,20,200,220,22
133,group12_sub1,23,danish,male,./final_images\WM07_NO_neutral.jpg,e,116.18578630010596,neutral,neutral,white,male,40,100,140,43
134,group12_sub1,23,danish,male,./final_images\BF08_HO_happy.jpg,i,117.0268910001032,correct,happy,black,female,20,200,220,22
135,group12_sub1,23,danish,male,./final_images\BM14_SO_sad.jpg,e,118.04875329998322,correct,sad,black,male,30,100,130,32
136,group12_sub1,23,danish,male,./final_images\WF09_HO_happy.jpg,i,118.8858044000808,correct,happy,white,female,20,200,220,23
137,group12_sub1,23,danish,male,./final_images\AM6_HC_happy.jpg,i,119.7057196001988,correct,happy,asian,male,20,200,220,21
138,group12_sub1,23,danish,male,./final_images\BF12_SC_sad.jpg,i,120.49078300013208,incorrect,sad,black,female,30,200,50,32
139,group12_sub1,23,danish,male,./final_images\BF14_NO_neutral.jpg,e,121.40572630008684,neutral,neutral,black,female,40,100,140,42
140,group12_sub1,23,danish,male,./final_images\WM02_SO_sad.jpg,e,122.33285480015913,correct,sad,white,male,30,100,130,33
141,group12_sub1,23,danish,male,./final_images\BM01_NO_neutral.jpg,i,123.43576120003128,neutral,neutral,black,male,40,200,140,42
142,group12_sub1,23,danish,male,./final_images\BF18_NO_neutral.jpg,e,124.33977720001712,neutral,neutral,black,female,40,100,140,42
143,group12_sub1,23,danish,male,./final_images\BM02_HC_happy.jpg,i,125.08972000004724,correct,happy,black,male,20,200,220,22
144,group12_sub1,23,danish,male,./final_images\BM15_HC_happy.jpg,i,125.82277279999109,correct,happy,black,male,20,200,220,22
145,group12_sub1,23,danish,male,./final_images\AF11_SC_sad.jpg,e,126.73572600004265,correct,sad,asian,female,30,100,130,31
146,group12_sub1,23,danish,male,./final_images\BM18_NC_neutral.jpg,i,127.89483570004812,neutral,neutral,black,male,40,200,140,42
147,group12_sub1,23,danish,male,./final_images\AF10_HO_happy.jpg,i,128.8267584000714,correct,happy,asian,female,20,200,220,21
148,group12_sub1,23,danish,male,./final_images\BF08_NO_neutral.jpg,i,130.3348209001124,neutral,neutral,black,female,40,200,140,42
149,group12_sub1,23,danish,male,./final_images\AF10_HC_happy.jpg,i,131.16483140015043,correct,happy,asian,female,20,200,220,21
150,group12_sub1,23,danish,male,./final_images\WF04_SO_sad.jpg,e,132.28467560000718,correct,sad,white,female,30,100,130,33
151,group12_sub1,23,danish,male,./final_images\AM09_HC_happy.jpg,i,133.32371330005117,correct,happy,asian,male,20,200,220,21
152,group12_sub1,23,danish,male,./final_images\BM06_SC_sad.jpg,i,134.6267405000981,incorrect,sad,black,male,30,200,50,32
153,group12_sub1,23,danish,male,./final_images\BM09_SO_sad.jpg,i,135.79674450005405,incorrect,sad,black,male,30,200,50,32
