Unnamed: 0,id,age,Ethnicity,gender,i,response,reaction_time,accuracy,img_emotion,img_ethnicity,img_gender,img_trigger,res_trigger,acc_trigger,ethnicity_trigger
81,ah,40,Danish,male,./final_images\AF05_SC_sad.jpg,e,86.18877719994634,correct,sad,asian,female,30,100,130,31
82,ah,40,Danish,male,./final_images\WM10_NO_neutral.jpg,e,87.17977859987877,neutral,neutral,white,male,40,100,140,43
83,ah,40,Danish,male,./final_images\WF02_HO_happy.jpg,i,87.89578379993327,correct,happy,white,female,20,200,220,23
84,ah,40,Danish,male,./final_images\AM09_SO_sad.jpg,e,89.08785909996368,correct,sad,asian,male,30,100,130,31
85,ah,40,Danish,male,./final_images\WF01_SO_sad.jpg,e,89.91181720001623,correct,sad,white,female,30,100,130,33
86,ah,40,Danish,male,./final_images\AF03_SC_sad.jpg,e,90.93387239985168,correct,sad,asian,female,30,100,130,31
87,ah,40,Danish,male,./final_images\AF11_SC_sad.jpg,e,91.60984149994329,correct,sad,asian,female,30,100,130,31
88,ah,40,Danish,male,./final_images\AM01_HC_happy.jpg,e,92.31980809988454,incorrect,happy,asian,male,20,100,50,21
89,ah,40,Danish,male,./final_images\BF07_HO_happy.jpg,i,93.08185349986888,correct,happy,black,female,20,200,220,22
90,ah,40,Danish,male,./final_images\BM03_SO_sad.jpg,e,93.89585219998844,correct,sad,black,male,30,100,130,32
91,ah,40,Danish,male,./final_images\WM09_HO_happy.jpg,i,94.63081699982284,correct,happy,white,male,20,200,220,23
92,ah,40,Danish,male,./final_images\BF12_SO_sad.jpg,e,95.82377829984762,correct,sad,black,female,30,100,130,32
93,ah,40,Danish,male,./final_images\BM11_SO_sad.jpg,e,96.83781079994516,correct,sad,black,male,30,100,130,32
94,ah,40,Danish,male,./final_images\BM08_SC_sad.jpg,e,97.61191900004631,correct,sad,black,male,30,100,130,32
95,ah,40,Danish,male,./final_images\BF05_HO_happy.jpg,i,98.43578499997966,correct,happy,black,female,20,200,220,22
96,ah,40,Danish,male,./final_images\WM05_SO_sad.jpg,e,99.3838294998277,correct,sad,white,male,30,100,130,33
97,ah,40,Danish,male,./final_images\BM17_SC_sad.jpg,e,100.3278421999421,correct,sad,black,male,30,100,130,32
98,ah,40,Danish,male,./final_images\WF07_SC_sad.jpg,e,101.1858013998717,correct,sad,white,female,30,100,130,33
99,ah,40,Danish,male,./final_images\WM03_HO_happy.jpg,i,102.00085279997438,correct,happy,white,male,20,200,220,23
100,ah,40,Danish,male,./final_images\WM02_NC_neutral.jpg,e,102.80571869993582,neutral,neutral,white,male,40,100,140,43
101,ah,40,Danish,male,./final_images\BF10_NC_neutral.jpg,e,103.81978669995442,neutral,neutral,black,female,40,100,140,42
102,ah,40,Danish,male,./final_images\BF06_NO_neutral.jpg,i,106.76377359987237,neutral,neutral,black,female,40,200,140,42
103,ah,40,Danish,male,./final_images\AF03_SO_sad.jpg,e,107.47378179989757,correct,sad,asian,female,30,100,130,31
104,ah,40,Danish,male,./final_images\BF13_SC_sad.jpg,e,108.43277419987136,correct,sad,black,female,30,100,130,32
105,ah,40,Danish,male,./final_images\WF04_HC_happy.jpg,i,109.2707694999408,correct,happy,white,female,20,200,220,23
106,ah,40,Danish,male,./final_images\BF14_HC_happy.jpg,i,109.9198537999764,correct,happy,black,female,20,200,220,22
107,ah,40,Danish,male,./final_images\AF12_SC_sad.jpg,i,110.5787696999032,incorrect,sad,asian,female,30,200,50,31
108,ah,40,Danish,male,./final_images\BF20_HO_happy.jpg,i,111.57384139997885,correct,happy,black,female,20,200,220,22
109,ah,40,Danish,male,./final_images\WM04_SO_sad.jpg,i,112.2687601998914,incorrect,sad,white,male,30,200,50,33
110,ah,40,Danish,male,./final_images\WF01_SC_sad.jpg,e,113.17082419991492,correct,sad,white,female,30,100,130,33
111,ah,40,Danish,male,./final_images\WM01_HO_happy.jpg,e,113.93188339984044,incorrect,happy,white,male,20,100,50,23
